asset,venue,strategy,mean_net_bps,total_net_bps,mean_gross_bps,mean_cost_bps,turnover,active_share
AAPL,XNAS,camp_r,0.31482641072669443,26528.217847063454,0.32984522368950203,0.015018812962807588,0.007820751694100613,0.15592846207706823
AAPL,XNAS,ramp_real,0.31482641072669443,26528.217847063454,0.32984522368950203,0.015018812962807588,0.007820751694100613,0.15592846207706823
AAPL,XNAS,online_regime,0.2581671698109541,21753.940229780426,0.2694301470150079,0.011262977204053825,0.009351672738924557,0.1655174869159655
AAPL,XNAS,ridge_static,0.1445744444520145,12182.2764128601,0.15905580157027502,0.014481357118260514,0.007001886949194783,0.13895778692901986
AAPL,XNAS,micro_fixed,-0.028434946948297107,-2396.013934704359,-0.017171969744243284,0.011262977204053825,0.009351672738924557,0.1655174869159655
AAPL,XNAS,momentum,-0.11400983769806518,-9606.810953952066,-0.10106889613090568,0.012940941567159506,0.006657726404234361,0.11534125298173575
AAPL,XNAS,signed_flow,-0.1287411077518078,-10848.11196249058,-0.11725556304977708,0.011485544702030727,0.008010633374078778,0.1327747647247309
BNBUSDT,BINANCE,camp_r,0.030884881958973057,2666.41539904598,0.03109162894030229,0.00020674698132923394,0.01037829823707925,0.1740913197581486
BNBUSDT,BINANCE,micro_fixed,0.030884881958973057,2666.41539904598,0.03109162894030229,0.00020674698132923394,0.01037829823707925,0.1740913197581486
BNBUSDT,BINANCE,online_regime,0.030884881958973057,2666.41539904598,0.03109162894030229,0.00020674698132923394,0.01037829823707925,0.1740913197581486
BNBUSDT,BINANCE,ramp_real,0.017288692965998297,1492.602018526497,0.01745681180537131,0.00016811883937301427,0.008409201473347696,0.13969004100354437
BNBUSDT,BINANCE,ridge_static,0.016592627613253415,1432.5079123626203,0.016744162142437666,0.0001515345291842497,0.007575231079296685,0.12613802210021544
BNBUSDT,BINANCE,signed_flow,-0.017014487168211363,-1468.9287351803598,-0.01659797811352134,0.000416509054690022,0.020953506150531657,0.39687724419116455
BNBUSDT,BINANCE,momentum,-0.021699194391624297,-1873.378248606492,-0.02166347661514682,3.571777647747826e-05,0.0017837700094979962,0.027451525470845783
